time,desired_angle,current_angle,velocity,error
6.659475326538086,2.55,2.561,0.44,-0.011
6.696498394012451,2.55,2.556,0.226,-0.006
6.733043432235718,2.55,2.554,-0.226,-0.004
6.770023584365845,2.55,2.551,-0.444,-0.001
6.807097911834717,2.55,2.552,-0.23,-0.002
6.843817234039307,2.55,2.55,-0.691,-0.0
6.876827955245972,2.55,2.549,-0.23,0.001
6.913630962371826,2.55,2.548,-1.382,0.002
6.950724840164185,2.55,2.551,0.719,-0.001
6.986743450164795,2.55,2.55,0.461,0.0
7.023403644561768,2.55,2.549,-0.228,0.001
7.060970783233643,2.55,2.551,0.225,-0.001
7.0976338386535645,2.55,2.549,-0.23,0.001
7.130220413208008,2.55,2.55,0.0,0.0
7.166585683822632,2.55,2.55,1.169,-0.0
7.204476833343506,2.55,2.55,0.231,0.0
7.240983009338379,2.55,2.551,0.241,-0.001
7.277098178863525,2.55,2.55,0.691,-0.0
7.31411337852478,2.55,2.549,0.456,0.001
7.347167730331421,2.55,2.549,-0.691,0.001
7.384525299072266,2.55,2.549,-0.239,0.001
7.421038866043091,2.55,2.55,-0.691,0.0
7.45804762840271,2.55,2.55,0.0,-0.0
7.494519233703613,2.55,2.55,0.24,0.0
7.5310564041137695,2.55,2.55,0.474,0.0
7.565049409866333,2.55,2.55,0.24,-0.0
7.6013994216918945,2.55,2.55,-0.931,0.0
7.638524770736694,2.55,2.551,0.711,-0.001
7.674704313278198,2.55,2.549,0.0,0.001
7.712167263031006,2.55,2.549,-0.461,0.001
7.748680353164673,2.55,2.55,-0.461,0.0
7.7816855907440186,2.55,2.549,-0.922,0.001
7.818926095962524,2.55,2.549,-0.237,0.001
7.85578989982605,2.55,2.549,-0.474,0.001
7.892399787902832,2.55,2.55,-0.23,-0.0
7.929267644882202,2.55,2.55,-0.239,-0.0
7.965519905090332,2.55,2.551,-0.231,-0.001
8.002412557601929,2.55,2.55,0.461,-0.0
8.035922527313232,2.55,2.549,-0.231,0.001
8.072446346282959,2.55,2.549,0.0,0.001
8.109140396118164,2.55,2.549,0.0,0.001
8.146133422851562,2.55,2.549,-0.247,0.001
8.183133125305176,2.55,2.551,0.225,-0.001
8.220135927200317,2.55,2.551,0.464,-0.001
8.252726554870605,2.55,2.55,0.655,-0.0
8.289778232574463,2.55,2.55,-0.218,-0.0
8.32628607749939,2.55,2.55,0.226,-0.0
8.363027334213257,2.55,2.55,-0.24,0.0
8.400000810623169,2.55,2.549,-0.461,0.001
8.436515092849731,2.55,2.549,-0.448,0.001
8.473514556884766,2.55,2.55,-0.461,0.0
8.510517120361328,2.55,2.55,-0.23,-0.0
8.546740293502808,2.55,2.551,0.922,-0.001
8.580732583999634,2.55,2.55,-0.231,0.0
8.616672992706299,2.55,2.551,0.0,-0.001
8.653802633285522,2.55,2.55,0.233,-0.0
8.691142320632935,2.55,2.55,-0.472,0.0
8.727392196655273,2.55,2.55,-0.237,0.0
8.764546632766724,2.55,2.549,-0.46,0.001
8.79754638671875,2.55,2.549,-0.239,0.001
8.83433985710144,2.55,2.551,0.455,-0.001
8.87134599685669,2.55,2.55,0.455,0.0
8.907644748687744,2.55,2.55,0.225,-0.0
8.944389820098877,2.55,2.55,0.226,0.0
8.981044054031372,2.55,2.551,0.215,-0.001
9.018128871917725,2.55,2.55,-0.232,-0.0
9.051654815673828,2.55,2.55,0.224,0.0
9.088490724563599,2.55,2.549,-0.439,0.001
9.12518572807312,2.55,2.55,-0.451,-0.0
9.16169285774231,2.55,2.55,0.22,-0.0
9.19893503189087,2.55,2.55,-0.216,-0.0
9.235336780548096,2.55,2.551,0.0,-0.001
9.272596836090088,2.55,2.551,0.235,-0.001
9.305447101593018,2.55,2.55,0.0,0.0
9.34165072441101,2.55,2.551,0.91,-0.001
9.378661870956421,2.55,2.549,-0.475,0.001
9.415514469146729,2.55,2.55,0.224,-0.0
9.452763080596924,2.55,2.55,0.481,-0.0
9.48964524269104,2.55,2.549,0.0,0.001
9.52266263961792,2.55,2.55,0.479,-0.0
9.55953073501587,2.55,2.55,0.0,-0.0
9.596531867980957,2.55,2.551,0.47,-0.001
9.633052110671997,2.55,2.55,0.0,0.0
9.670045614242554,2.55,2.549,0.234,0.001
9.70704460144043,2.55,2.55,-0.237,0.0
9.743550300598145,2.55,2.55,0.0,0.0
9.77603816986084,2.55,2.55,0.0,-0.0
9.813032150268555,2.55,2.549,-0.24,0.001
9.84953784942627,2.55,2.549,-0.474,0.001
9.886545181274414,2.55,2.55,0.0,0.0
9.92354154586792,2.55,2.55,0.24,-0.0
9.957047939300537,2.55,2.551,0.233,-0.001
9.99355411529541,2.55,2.55,0.448,0.0
